Vivid_Red,#BE0032
Strong_Red,#BC3F4A
Deep_Red,#841B2D
Very_Deep_Red,#5C0923
Moderate_Red,#AB4E52
Dark_Red,#722F37
Very_Dark_Red,#3F1728
Light_Grayish_Red,#AD8884
Grayish_Red,#905D5D
Dark_Grayish_Red,#543D3F
Blackish_Red,#2E1D21
Reddish_Gray,#8F817F
Dark_Reddish_Gray,#5C504F
Reddish_Black,#282022
Vivid_Reddish_Orange,#E25822
Strong_Reddish_Orange,#D9603B
Deep_Reddish_Orange,#AA381E
Moderate_Reddish_Orange,#CB6D51
Dark_Reddish_Orange,#9E4732
Grayish_Reddish_Orange,#B4745E
Strong_Reddish_Brown,#882D17
Deep_Reddish_Brown,#56070C
Light_Reddish_Brown,#A87C6D
Moderate_Reddish_Brown,#79443B
Dark_Reddish_Brown,#3E1D1E
Light_Grayish_Reddish_Brown,#977F73
Grayish_Reddish_Brown,#674C47
Dark_Grayish_Reddish_Brown,#43302E
Vivid_Reddish_Purple,#870074
Strong_Reddish_Purple,#9E4F88
Deep_Reddish_Purple,#702963
Very_Deep_Reddish_Purple,#54194E
Light_Reddish_Purple,#B784A7
Moderate_Reddish_Purple,#915C83
Dark_Reddish_Purple,#5D3954
Very_Dark_Reddish_Purple,#341731
Pale_Reddish_Purple,#AA8A9E
Grayish_Reddish_Purple,#836479
Vivid_Purplish_Red,#CE4676
Strong_Purplish_Red,#B3446C
Deep_Purplish_Red,#78184A
Very_Deep_Purplish_Red,#54133B
Moderate_Purplish_Red,#A8516E
Dark_Purplish_Red,#673147
Very_Dark_Purplish_Red,#38152C
Light_Grayish_Purplish_Red,#AF868E
Grayish_Purplish_Red,#915F6D
