#BE0032	#BC3F4A	#841B2D	#5C0923	#AB4E52	#722F37	#3F1728	#AD8884	#905D5D	#543D3F	#2E1D21	#8F817F	#5C504F	#282022	#E25822	#D9603B	#AA381E	#CB6D51	#9E4732	#B4745E	#882D17	#56070C	#A87C6D	#79443B	#3E1D1E	#977F73	#674C47	#43302E	#870074	#9E4F88	#702963	#54194E	#B784A7	#915C83	#5D3954	#341731	#AA8A9E	#836479	#CE4676	#B3446C	#78184A	#54133B	#A8516E	#673147	#38152C	#AF868E	#915F6D
0	0	0	0	0	0	0	0	0	0	8.28E-05	0	0	0	0	0	0.000150104	0	0	0	0.001915114	0.001526915	0	0.000191511	0.001915114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.000372475	0	0	2.21E-05	0	0	0	0	0	0	9.47E-06	0.000233586	0	0	0.001253157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.000205098	7.57E-05	7.77E-05	0.000477897	0	0	0	0	0	0	0	0	0	0	0.000549582	0	0	0.000125448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.000146374	0	0.000129741	0.000169661	0	0	0.000359281	4.99E-05	0.001111111	0.001410512	2.66E-05	0.000169661	0	0	0	3.33E-06	0.005452428	0.000548902	0.024018629	0.017847638	0.000196274	0.007192282	0.006230872	0.000219561	0.000668663	0.000182967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.000180723	4.52E-05	0.000326305	0.000185743	0.000431727	0.000499498	0.001669177	0	0	0	0	0	0	0	0	0.000190763	0.000233434	5.52E-05	0.000522088	0.000424197	0.000381526	0	0	0	0	0	0	0	0	5.02E-06	0	0	0	0	0	0	0	0	7.53E-06	1.76E-05
0	0	0	0	0	0	0	0	2.35E-05	0.000416667	0.031748826	0.001789906	0.000293427	0.000228873	0	0	0	0	5.87E-06	1.17E-05	0	0.00032277	0.000176056	0.000457746	0.047288732	0.000803991	0.000657277	0.003339202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.000273881	1.34E-05	0.00010354	0.000133601	0.0001169	0	0	0	0	0	0	0	0	0	0	0.000754843	0.00010688	0.000811623	0.003486974	0.001252505	0.000895124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1.78E-05	0	0	0	0	0	0	0	0	0	0	0.004469697	3.57E-05	1.78E-05	0.000713012	8.91E-06	4.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	6.17E-06	0	8.95E-05	0.002049383	0.013737654	0.000743827	3.09E-06	0	0	0	0	0	0	0	0	4.32E-05	0	0.018348765	8.64E-05	0.000490741	0.000345679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	4.32E-05	0	0.00023978	0.000400943	6.29E-05	6.68E-05	9.43E-05	3.93E-06	0	0	0	0	0	0	0	0	1.18E-05	5.50E-05	0.001517296	0.001132075	0.000235849	0.000408805	9.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75E-05	2.36E-05
0	0	0	0	0	0	0	0	0.000170999	0.072179663	0.010202918	0.010720474	0.032954856	0.004101687	0	0	0	0	0	0	0	0.002348381	0	0.001896945	0.042925217	0.000964432	0.095670315	0.060328317	0	0	0	0	0	0	4.56E-06	0	0	2.96E-05	0	0	0	0	0	0	0	0	2.28E-06
0	0	0	0	0	0	0	3.16E-05	0.000110585	0.001591627	0.017709321	9.08E-05	0	2.37E-05	0	0	0	0	0	0.006386256	0	0	0.049032385	0.012413112	0.028037125	0.00571485	0.03206951	0.017875197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.002126156	0	0	0	0	0	0	0.005831974	0.007446982	0.004081022	0.0001441	0	2.72E-06	0.00019304	0.005647091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0.003702364	0	0.011502653	0.020318379	0.017342016	0	0.004380125	9.65E-05	0	0	0	0	0	0	0	0	0	0.001628075	0.009891462	0.001078148	0.046685962	0.037556681	0.006123975	0	0	0	0	0	0	2.89E-05	0	6.03E-05	0.00093343	0	0	0	0	0	0.002537385	0	0.001454414	0.000221901
0	0	0	0	0	0	0	0	0	0	0.055225138	0	0	0.002097506	0	0	0	0	0	0	0	0	7.29E-05	0	0.092738905	6.48E-06	0.000897311	0.000440557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	5.59E-06	0	0.00466443	0.003998881	0.000548098	0.037225951	0.008299776	0.048590604	0.109233781	0.0001566	0.012248322	0	0	0	0	5.59E-06	0	9.51E-05	0.023685682	0.013674497	0.111599553	0.088579418	0.091331096	0.006560403	0.01139821	0	0	0	0	0	0	5.59E-06	5.59E-06	1.68E-05	0.000139821	0	0	0	0	0	0.000592841	5.59E-06	2.80E-05	0.000318792
0	0	0	0	0	0	0	4.21E-06	0	0	0.000572391	0	0	8.42E-06	0	0	0	0	0.000462963	0.001599327	0.000248316	0.005580808	9.26E-05	0.002453704	0.015075758	2.10E-05	8.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3.53E-06	3.53E-06	3.88E-05	0	7.06E-06	3.18E-05	0	0	0	0	0	5.65E-05	4.94E-05	0.003008475	0.000416667	1.06E-05	0.000109463	0.000112994	4.24E-05	0.000109463	9.53E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0.000253333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024813333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	6.50E-06	2.17E-06	0.000125704	5.42E-05	4.33E-06	0	0.000223234	0	0	0	0	0	0	0	8.67E-06	1.08E-05	0.000162549	0.000117035	0.000117035	0.000546164	0.003183788	0.000106199	2.17E-06	0	0	0	0	2.17E-06	4.33E-06	2.17E-06	0	6.07E-05	2.82E-05	0	0	0	0	0	1.73E-05	0	5.42E-05	3.90E-05
0	0	0	0	0	0	0	0	0	3.09E-05	0.000487654	0.003555556	0.004567901	5.56E-05	0	0	0	0	0	0	0	0	0	0	0.002314815	3.70E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	1.19E-05	1.59E-05	0	1.99E-05	0.000131265	0	0	0	0	0	0	0	0	0	7.96E-06	0	0	2.39E-05	0.000123309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4.36E-06	0	0	0.006712478	0	0	4.36E-06	0	0	0	0	0	2.18E-06	0	1.75E-05	0.000316318	4.14E-05	0.029509162	2.18E-06	4.36E-05	4.14E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.000277778	6.12E-05	0	0.010014124	0.000550847	2.35E-05	0.000414313	0	0	0	0	0	1.88E-05	0.000235405	0	0.000527307	0.000117702	0.010922787	0.000362524	0.000244821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.42E-06	0
0	0	0	0	0	0	0	0.000122324	0	4.59E-05	0.000254842	0.002573904	2.55E-05	0	0	0	0	0	0	0	0	0	5.10E-05	5.10E-06	0.000917431	0.000346585	0.00011213	5.10E-06	0	0	0	0	0	0	0	0	1.02E-05	0	0	0	0	0	0	0	0	0	0
